MZ	Intensity
90.77783	14975
91.05254	15034
91.32741	15233
91.60244	15377
91.87764	15572
92.15301	15693
92.42854	15793
92.70424	15758
92.98010	15620
93.25613	15698
93.53232	15887
93.80868	16010
94.08520	16091
94.36189	16103
94.63875	16029
94.91577	15830
95.19295	15655
95.47030	15504
95.74782	15352
96.02550	15172
96.30334	15109
96.58135	15089
96.85953	15034
97.13787	14932
97.41638	14841
97.69505	14728
97.97389	14648
98.25290	14571
98.53206	14478
98.81140	14315
99.09090	13987
99.37056	13675
99.65039	13386
99.93039	13150
100.21055	12936
100.49087	12808
100.77137	12843
101.05202	12952
101.33285	13168
101.61383	13134
101.89499	13174
102.17630	13398
102.45779	13684
102.73944	13780
103.02125	13791
103.30323	13744
103.58537	13778
103.86768	13811
104.15016	13857
104.43280	13984
104.71561	14021
104.99858	14342
105.28171	14972
105.56501	15302
105.84848	15256
106.13211	15151
106.41591	15268
106.69988	15618
106.98400	16062
107.26830	16277
107.55276	16520
107.83738	16575
108.12217	16575
108.40713	16575
108.69225	16575
108.97753	16575
109.26298	16575
109.54860	16575
109.83438	16575
110.12033	16575
110.40644	16575
110.69272	16575
110.97916	16575
111.26577	16575
111.55255	16575
111.83949	16575
112.12659	16575
112.41386	16575
112.70129	16575
112.98889	16575
113.27666	16575
113.56459	16566
113.85269	16536
114.14095	16380
114.42938	16246
114.71797	16146
115.00673	15997
115.29565	15970
115.58474	15543
115.87399	14563
116.16341	12708
116.45300	12038
116.74275	11815
117.03266	11737
117.32274	11612
117.61299	11496
117.90340	11404
118.19397	11371
118.48472	11379
118.77562	11397
119.06669	11392
119.35793	11368
119.64933	11330
119.94090	11407
120.23264	11657
120.52454	11983
120.81660	12297
121.10883	12502
121.40122	12582
121.69378	12562
121.98651	12672
122.27940	13079
122.57246	13966
122.86568	14823
123.15907	15164
123.45262	15187
123.74634	15048
124.04022	15017
124.33427	15310
